Replicate1_CtrlV	Replicate2_DAPT	Replicate3_CtrlV	Replicate4_CtrlV	Replicate4_DAPT	Replicate4_LY411575	Replicate5_CtrlV	Replicate5_DAPT	Replicate5_LY411575	Replicate6_CtrlV	Replicate6_DAPT	Replicate6_LY411575
ACOT8	25.2694368647251	23.1142554318168	26.9530310848134	25.6675201048699	24.6847858172423	24.5511056094927	23.7871133533178	22.2713158656923	24.1417808210668	23.6888972434655	21.4151935171373	19.6953260453188
ABI1	72.3061498346718	71.9709177876978	72.5992934058685	76.8110116571107	73.6656206672035	71.887655123686	80.9676742987932	78.0816489046209	79.4502049152323	75.8220837420961	79.780372569991	80.3927399486193
GNPDA1	26.6703011685265	29.111831914125	27.5740686674128	27.3914580223612	31.8116268668398	28.0824290190773	31.8381363344407	31.1622364286762	28.890983605539	29.0607289603852	32.122790275706	32.0496669282915
ZBTB33	54.6337078482543	59.7062108238766	62.5384845677584	66.8504814671611	76.4515676229552	66.0861952365113	72.2762290350809	72.3597693343838	76.8777200736432	68.6889957245469	70.4770507961527	76.1851021116649
CDH3	7.81251246350776	7.48012347793488	5.71354575991437	5.9380083824699	5.76626230376527	6.05369727357355	6.40422282589325	5.72187957023716	5.04602795850168	5.45989453195117	5.61709993892126	5.1028799299235
TANK	32.5431553652323	36.1876243932525	34.7781046255657	36.9688908973126	38.1609943473904	36.6585001566399	37.0530034926681	36.2679135836571	36.3116129562768	37.7789476485008	35.0191074317122	37.8687405325902
POM121C	121.821315034421	98.4545982095754	96.0124102698654	94.4334881470213	80.8572511808882	93.2437538387927	95.4229201058094	81.5147766467633	88.6517853101471	109.726267529212	101.897703579494	102.147122807767
ZSCAN30	13.5776078676135	12.3320954636224	12.8554779598073	14.1746006549282	13.9297347787588	13.957135380739	14.0892902169651	13.8205398850344	13.159249381975	15.7632438906332	14.4815857800314	13.5181556038324
SRA1	46.282401421746	38.8157758854999	41.4232067593792	41.3745100197903	41.0117307672294	38.3400827326325	41.4444705732806	39.8770991587298	37.2020884783653	39.7163295791932	40.021837064814	35.7201595094645
UCKL1-AS1	2.3168140409023	2.62815149224739	2.54625408865749	2.29858388998835	2.00847338670476	2.18605734879045	2.01275574528073	2.28875182809486	2.7703682909421	2.81801008100705	2.19417966364112	2.41715365101639
LIN28B-AS1	0.969829133400963	0.673884998012152	0.372622549559633	1.53238925999223	0.583105176785252	1.09302867439523	0.914888975127607	1.14437591404743	0.989417246765035	1.05675378037765	1.05320623854774	0.716193674375228
TMEM170B	113.685526193113	99.6675912059972	106.942671723615	132.551670989328	134.567716909219	128.893304449837	135.586546113911	133.187750611828	146.928461144608	130.861343136765	147.097804650501	131.511063457151
ZGLP1	5.06466325220503	3.30203649025954	5.46513072687461	4.50139345122718	3.82257838114776	3.8676399247831	3.56806700299767	3.96130124093342	3.85872726238363	6.16439705220293	3.77398902146272	3.31239574398543
FAM86JP	1.29310551120128	0.943438997217012	0.931556373899082	1.24506627374369	0.907052497221503	1.26118693199449	1.46382236020417	0.880289164651871	0.989417246765035	1.67319348559794	0.614370305819513	1.43238734875046
MIR922	2.64009041870262	3.23464799045833	2.98098039647706	2.68168120498641	2.72115749166451	3.27908602318568	2.37871133533178	2.64086749395561	2.57248484158909	3.17026134113294	3.24738590218885	3.40191995328233
MIR939	1.77802007790177	1.48254699562673	1.17997140693884	1.3408406024932	1.61973660218125	1.59750344719302	1.46382236020417	1.84860724576893	1.38518414547105	1.05675378037765	1.49204217127596	1.79048418593807
GHRLOS	2.42457283350241	2.42598599284375	2.35994281387767	2.39435821873786	1.81410499444301	2.01789909119118	2.19573354030626	2.28875182809486	1.87989276885357	2.99413571106999	2.80854996946063	2.6857262789071
MINAR2	1.77802007790177	1.48254699562673	1.24207516519878	0.574645972497087	1.10142088948325	1.26118693199449	1.18935566766589	0.968318081117058	0.593650348059021	1.23287941044059	0.526603119273868	0.716193674375228
SLCO4A1-AS1	0.862070340800856	1.01082749701823	1.1178676486789	1.3408406024932	0.971841961308753	0.92487041679596	0.823400077614846	0.880289164651871	1.18730069611804	0.616439705220293	0.789904678910802	1.52191155804736
C8orf88	1.67026128530166	0.539107998409721	2.2357352973578	2.58590687623689	2.46199963531551	3.02684863678678	2.65317802787006	2.0246650786993	2.8693100156186	2.99413571106999	1.84311091745854	2.77525048820401
UBE2Q2P13	0.700432151900696	1.21299299642187	0.993660132159021	0.861968958745631	0.971841961308753	0.672633030397062	1.18935566766589	1.32043374697781	1.18730069611804	1.23287941044059	0.877671865456447	0.984766302265938
FHL1P1	0.862070340800856	1.41515849582552	1.42838643997859	2.01126090373981	1.23099981765775	2.01789909119118	2.01275574528073	1.58452049637337	1.68200931950056	1.40900504050353	1.5798093578216	2.41715365101639
