"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"diffexpressed"
"SIK1"	-0.852693112151627	3.49863584953371	72.4298673947429	0.0023942492541489	0.254505122209679	"No change"
"CSPG5"	-0.276939544964469	6.51001819936891	50.1584102372877	0.00249114321954533	0.262843289031139	"No change"
"SIK3"	-0.265114009863032	6.62940920641884	42.1343177519707	0.00251544388392866	0.263455755019704	"No change"
"ALCAM"	0.258779750588723	7.17043258264141	11.9546091723046	0.00274100607009812	0.284984601915895	"No change"
"SHISA8"	0.398563918188276	5.53214471044484	36.1931576464667	0.00280475680879652	0.289499681047085	"No change"
"PMEPA1"	-0.486070811213776	4.90219418265361	33.1674883749448	0.00282556342560164	0.289549103843667	"No change"
"PRKACA"	-0.181812859747616	7.67238561111256	18.7247519622156	0.00287434500840635	0.2898011306209	"No change"
"PPFIA4"	-0.302739616503161	6.21480537925138	29.2553598894974	0.00287844116300627	0.2898011306209	"No change"
"NNAT"	-0.121246865658491	9.40283296024264	11.7924813347187	0.00288905929150293	0.2898011306209	"No change"
"NSF"	-0.143315271705259	8.42392921454898	11.755795580571	0.00292378637296709	0.291233658017784	"No change"
"SYT5"	-0.264570904638395	6.59018677100699	19.4527510073561	0.00294870820759226	0.291676386867668	"No change"
"DPYSL2"	0.128043077650711	11.0597827880367	11.6329596323635	0.00304350324071012	0.298976966625345	"No change"
"MMAB"	0.442104851044417	5.20863635090415	67.601096377753	0.00324914070048785	0.315848099278789	"No change"
"KIF5C"	0.112381303124107	10.36121927399	11.4243300270207	0.00325959495885861	0.315848099278789	"No change"
"ACSL4"	0.153723623271944	8.14512304903286	11.6454298937059	0.00332268802418851	0.319786271733386	"No change"
"SLC5A7"	-0.318188346745195	6.00353016415562	20.16582376461	0.00359738736191372	0.343900574383215	"No change"
"NDUFS1"	-0.202865984785748	7.28568458048429	15.0538231069808	0.00362799738781938	0.344514631947328	"No change"
"RTN3"	0.100831389296869	9.7085079155539	11.0625265448671	0.00367621870135287	0.346781848887882	"No change"
"NLGN2"	-0.22013885405085	7.41100200080007	11.007801746587	0.0037442724667945	0.349862980416819	"No change"
"EIF3L"	0.160474942964614	8.03930290473804	10.9902892023691	0.00376634703150556	0.349862980416819	"No change"
"PFKP"	-0.207316583776062	7.21237283898796	25.863355279767	0.0037825680275337	0.349862980416819	"No change"
"NFE2L1"	0.14588100788425	8.25054612426509	22.1933592266292	0.00383239689543886	0.352184912120201	"No change"
"GRIN2B"	-0.264693888017611	6.50559480935741	16.7219313634559	0.00389523684386717	0.35566508720541	"No change"
"WDR82"	0.118150608472618	8.83101975118686	17.5026000492359	0.00411173400019061	0.373041650310287	"No change"
"SLC35F1"	-0.254813463522303	6.59207977793096	27.613300439734	0.00417986048558836	0.376822359219751	"No change"
"DDX5"	0.128672022153881	9.93932733638835	10.636671356364	0.00424475152152462	0.380265664607526	"No change"
"TUBB4A"	-0.214432893980053	8.69074058905325	10.5713325155273	0.00434039157907331	0.386251932878531	"No change"
"ELOVL6"	0.302210454292897	6.1575632234444	31.2097419084816	0.00438907120460189	0.386251932878531	"No change"
"RPS19"	0.163274331975699	8.02976152481765	10.5361252516444	0.00439292425767495	0.386251932878531	"No change"
"AKAP6"	0.116869876365488	8.82814589543105	12.8487268549858	0.00456784128225011	0.399167676223132	"No change"
"H3-3A"	0.14926869623054	9.31926140285092	10.3985540678388	0.00460512447312212	0.399971908507021	"No change"
"NONO"	0.135807734613221	8.38972129313902	18.330768445436	0.00470175176010442	0.405889406490469	"No change"
"SEMA3C"	0.233575437057506	7.3088141992202	10.3186449694771	0.00473363499559187	0.406180101669943	"No change"
"SPOCK1"	-0.107682250675382	9.13236740947356	10.294229850908	0.00477369634644152	0.407164854842593	"No change"
"STMN3"	-0.115537371420741	8.86662661917537	10.272976571096	0.00480887871425111	0.407724216701147	"No change"
"FAM167A"	-0.377054797850814	5.44080980572888	43.2252865518875	0.00485212736389488	0.408956817581767	"No change"
"CACNA1G"	-0.422695786692776	5.11576673566584	32.6608003878048	0.00489156282737969	0.409405414348956	"No change"
"ARHGAP5"	0.197142011633233	7.5121632956045	10.2099474922847	0.00491493441825832	0.409405414348956	"No change"
"DST"	0.133655733578975	9.02843496329487	10.1463283816402	0.00502464510641492	0.413946351125439	"No change"
"CLSTN3"	-0.109163607058472	8.96806917869985	11.3260020042902	0.00503736810310666	0.413946351125439	"No change"
"CACNA1E"	-0.147391109743988	8.23982218062745	10.1122142035905	0.00508460209257553	0.413946351125439	"No change"
"HTR3A"	0.590531769380458	4.3403488330979	13.5411704916714	0.00508569302491939	0.413946351125439	"No change"
"ARRDC3"	0.346493705987186	5.71889680983263	13.8875059295432	0.00531238699735683	0.429525430826401	"No change"
"CAMKV"	-0.228857642912541	6.82249603403202	30.4523569281261	0.00535028872015666	0.429525430826401	"No change"
"DCX"	0.112205692666492	11.0825463317563	9.95707648207707	0.00536756014371662	0.429525430826401	"No change"
"SNN"	0.153531686647065	7.99527886075031	21.1937552601696	0.00539835691188523	0.429576513144655	"No change"
"SYT4"	-0.108370599423108	9.28277362739644	9.84361622377349	0.0055856712822614	0.442012787469619	"No change"
"SCG2"	-0.243518618697204	8.30520108975719	9.79941305192305	0.00567331822508854	0.445341873315007	"No change"
"HRK"	0.470364733580612	4.87272486547096	26.9665608616273	0.00569027105752115	0.445341873315007	"No change"
"RGMA"	-0.276146206676735	6.2665819465813	11.4964788151516	0.00575861192625576	0.44822769550594	"No change"
"GNAO1"	-0.1499938321211	8.62736290834906	9.72792489517334	0.005818345925619	0.450415866111506	"No change"
"NDFIP1"	-0.108783973280475	9.02478898237847	9.63818565360281	0.00600631247516666	0.462453594033913	"No change"
"EEF1G"	0.165048609737898	9.44232460442993	9.60246177935098	0.00608302467182964	0.46584195390076	"No change"
"GNAS"	-0.115223871970644	11.259398473918	9.57201374904114	0.00614927494979228	0.468397178528563	"No change"
"H3-3B"	0.130687117392434	8.40484759153083	10.4949996388	0.00625339135633263	0.473794183402138	"No change"
"RPL18A"	0.185111601178799	7.40987985949617	11.9542947630357	0.0063290759588779	0.476991311948449	"No change"
"SYN1"	-0.200513731060009	7.12296510776344	10.191733872047	0.00662658123846616	0.496734647762777	"No change"
"FRY"	0.124418555511293	8.52081662318368	14.3751484368739	0.00668041104930338	0.496734647762777	"No change"
"DNAJC6"	-0.0929005430411819	9.78975440656716	9.33411334925883	0.00669566500775437	0.496734647762777	"No change"
"ADGRB2"	-0.181234315446685	7.4374900860979	9.26198333566825	0.00687192413783068	0.500831284967594	"No change"
"SLC38A2"	0.157014379429098	7.8464156272367	13.981107420785	0.00690015718154356	0.500831284967594	"No change"
"SIX1"	0.407164288621078	5.19548639964995	13.0336674587041	0.00690947567489236	0.500831284967594	"No change"
"RPL6"	0.142083815509003	8.26956969004776	9.24103882998682	0.00692407499193377	0.500831284967594	"No change"
"DYRK3"	-0.336822386526653	5.63379511979375	33.5595621461866	0.00692668935261275	0.500831284967594	"No change"
"RPL13A"	0.147049010014726	8.81028900655464	9.14104530865196	0.00717925024002835	0.516470911206888	"No change"
"RALGDS"	0.135668789008781	8.23689396869026	13.5006996348237	0.00743711978057669	0.530656514978404	"No change"
"GPC4"	0.842659683443767	3.34135607495881	32.5491494109235	0.00745094797779281	0.530656514978404	"No change"
"EPB41"	0.168836486182558	7.59993111973532	14.2688564597335	0.00772831662880807	0.547672348560906	"No change"
"GLUD1"	-0.196316349379407	7.11780354240573	18.0727026217213	0.00801775945444861	0.565371117174089	"No change"
"RASGRF1"	-0.440942032078865	4.84215160369474	28.7932687321522	0.00808849838144272	0.567549610567833	"No change"
"NAB2"	-0.622681300771236	3.92114912854815	38.2608969727757	0.00816783904958884	0.569316873139507	"No change"
"DOC2B"	-0.152556807527746	7.8312683198628	13.8437717867223	0.00819362250727316	0.569316873139507	"No change"
"SULF2"	-0.186351377644946	7.25632146106281	11.3707460653489	0.00825594316015859	0.570862399870383	"No change"
"DUSP5"	-0.973656376664868	2.86225496312169	36.3014751820314	0.00834875142617339	0.574490895238714	"No change"
"PSAP"	0.0997538683569553	9.53136933341258	8.70598702197616	0.00841939769154243	0.576566830376589	"No change"
"DESI1"	-0.360441133115637	5.37083498955151	12.0805747821481	0.00855250103975144	0.582879544546505	"No change"
"C22orf42"	-0.70231980194819	3.59575688229085	42.1070752750125	0.00872331430682935	0.591689947554653	"No change"
"SPOCK2"	-0.0922926939130404	9.51624373239894	8.45322220786218	0.00924944334824244	0.624403180342964	"No change"
"CHODL"	0.265975661810758	6.25377272996424	9.61931404586558	0.00938336088354918	0.630455624647521	"No change"
"ELOVL5"	0.270169987487289	6.19425399547077	23.1579176997391	0.00973559103198877	0.651050510139193	"No change"
"CYB5B"	0.225278907861351	6.69801712529431	23.2018078535053	0.00981455532620566	0.653264140497539	"No change"
"FTL"	0.136996482146398	8.76849810709903	8.21483761307211	0.0101173224885328	0.665760051625653	"No change"
"EEF1A1"	0.202100654829315	11.9638344637988	8.19621619912496	0.0101888802085567	0.665760051625653	"No change"
"WLS"	0.553762217380832	4.25254500273302	25.9647926155988	0.0102033386982021	0.665760051625653	"No change"
"GLUD2"	-0.496688641060206	4.44076856278001	30.2888043495291	0.0102942376472007	0.665760051625653	"No change"
"SLC44A5"	0.280853674023924	6.06393338604001	32.8027213478688	0.0103118837600885	0.665760051625653	"No change"
"NSMF"	-0.205177315815867	6.89891188999686	23.829240894372	0.0103178768506516	0.665760051625653	"No change"
"ELAVL4"	0.094882169279492	9.13389375761492	8.56928954363682	0.0103447093911921	0.665760051625653	"No change"
"PELI2"	0.311575704667779	5.77645940415692	19.4043018999183	0.0104150646133486	0.665760051625653	"No change"
"SPI1"	1.42470033732967	2.23291740828634	31.1458991864105	0.0104647560322627	0.665760051625653	"No change"
"CLCN6"	0.185165599931176	7.22456617046264	15.7986987337033	0.0104981645759099	0.665760051625653	"No change"
"NECAB2"	-0.389828722106139	5.07952376167278	39.5068254567383	0.0105164287851567	0.665760051625653	"No change"
"TMEFF2"	0.201180537544995	6.98682356881609	11.8515472882134	0.0106045372494201	0.66836738310062	"No change"
"PRUNE2"	0.280771925827847	6.04625374697134	19.3591771068879	0.0108533685450713	0.681036923154165	"No change"
"PTBP3"	0.212776097501802	6.81844732528589	17.4235197544102	0.010910697178788	0.681631450064282	"No change"
"MT-ND1"	-0.150945798565776	10.4207868234088	7.97215349108748	0.0110960424840249	0.690183533373147	"No change"
"ALDOA"	-0.156057855078429	7.65161134482857	11.4239655058671	0.0111870403422904	0.690951580603672	"No change"
"DNAJC22"	-0.80346353190549	3.20063432596407	21.6042748014364	0.0112054068463527	0.690951580603672	"No change"
"CHD3"	-0.141644216839022	8.21058813934691	7.91910551397978	0.0113238950061431	0.695248105463369	"No change"
"SCN9A"	0.163151290718633	7.53482614098543	19.1745063505627	0.0118545349764639	0.724678549541669	"No change"
"LHX9"	-0.126052131343007	8.44751460002197	7.78907682605925	0.0119049972334141	0.724678549541669	"No change"
"KDM5B"	0.116349589394769	8.49303288178391	10.9040498264449	0.0119824673116885	0.72629048675613	"No change"
"VANGL2"	0.107039954201928	8.7326344021373	8.57114516928524	0.0120495904890478	0.727264266635582	"No change"
"RGS8"	-0.254389723685542	6.2061556480739	12.7619541472993	0.0125590814010841	0.75481668977655	"No change"
"ADGRG1"	-0.206511062400598	6.79824000494623	14.2392419652832	0.0126575316541703	0.757537314630262	"No change"
"GPRIN3"	-0.179368832267346	7.19682343752199	12.1394987773395	0.0127480500353965	0.759762446461038	"No change"
"ARHGAP21"	0.157809818449575	7.59618810804271	17.9248265299948	0.0128620318933522	0.763361592870454	"No change"
"RHBDL3"	-0.569256593442424	3.9953017356096	18.9650078902107	0.0129901042433127	0.767763671542513	"No change"
"TMSB4X"	0.146752467323828	9.16934991672305	7.54238868479477	0.0131020927206331	0.771182680630982	"No change"
"ZFHX2"	-0.370399670920861	5.53425410148928	7.52233482285616	0.0132052169081039	0.774053949131819	"No change"
"TBC1D9"	0.134855993518989	8.0275518103812	19.1519272656943	0.0133601335744046	0.776955111257022	"No change"
"RAI14"	0.445584915253424	4.71242197520835	40.8982403304197	0.0134083640942428	0.776955111257022	"No change"
"LRRC7"	-0.287504415647955	5.83442536292554	19.936550934741	0.0134199567847002	0.776955111257022	"No change"
"KCNC3"	-0.328089987026428	5.46682599387563	11.8206746948762	0.0134728947262345	0.776955111257022	"No change"
"SLC25A6"	0.208855834107283	6.77557497724897	13.670032908343	0.0137894149746172	0.792001721364709	"No change"
